route_id,origin,destination,original_flood_prob,alternative_flood_prob,risk_reduction,original_time_s,alternative_time_s,extra_time_min
20702000611,Eastleigh Terminal,Koja,0.479,0.479,0.0,289.2801964639647,289.2801964639647,0.0
20801002511,Baba Dogo Terminal,Odeon,0.488,0.445,0.042,657.0770342677669,711.6953254076985,0.9
20801025A11,Lucky Summer Terminal,Odeon,0.466,0.434,0.032,727.2086337095357,765.6043067057221,0.6
20901043011,Ngumba Terminal,Bus Terminal,0.58,0.459,0.121,557.802220994148,611.6159499809052,0.9
21000004911,Sunton,Odeon,0.564,0.448,0.116,920.920994339898,995.022452757147,1.2
21000017B11,Mwiki,Bus Station,0.616,0.422,0.194,1016.7508834416873,1063.8519541370765,0.8
21100004411,KU,Odeon,0.321,0.328,-0.006,1253.0051615915447,1403.7638532177568,2.5
21100004412,KU,Odeon,0.321,0.328,-0.006,1253.0051615915447,1403.7638532177568,2.5
21100004421,KU,Roysambu Terminus,0.064,0.024,0.04,611.2623249499375,663.4545667258069,0.9
21200017B12,Mwiki,Roysambu,0.652,0.284,0.368,395.7419988328872,506.38797372585896,1.8
30000004611,Johnsaga,Tusker/Ronald Ngala,0.463,0.463,0.0,458.23772217024,458.23772217024,0.0
30000046B11,Rounda,Tusker/Ronald Ngala,0.451,0.451,0.0,499.23095807605216,499.23095807605216,0.0
30007004111,Dandora Terminal,Gikomba,0.428,0.412,0.016,710.4075016954233,718.4885129110736,0.1
30100000711,Gikomba Market,Bus Station,0.475,0.475,0.0,98.9067348199319,98.9067348199319,0.0
30100011C11,Pangani Terminal,Odeon,0.486,0.486,0.0,223.9260114603991,223.9260114603991,0.0
30101000311,Gikomba Market,Ngara,0.621,0.621,0.0,155.99566084841058,155.99566084841058,0.0
30600017A11,Kayole 1,Eastleigh Terminal,0.394,0.394,0.0,642.7379574019684,642.7379574019684,0.0
30600018C11,Eastleigh Terminal,Kanisani/Komarocks Phase 2,0.395,0.395,0.0,646.6609115520039,646.6609115520039,0.0
30600186211,Kanisani/Komarocks Phase 2,Bus Station,0.436,0.436,0.0,800.7593414809796,800.7593414809796,0.0
30603373812,Dune,Rounda,0.498,0.458,0.04,868.3181535984642,894.4602938190969,0.4
30800001411,Kariobangi Terminal,OTC,0.45,0.45,0.0,482.06160743359203,482.06160743359203,0.0
30800002811,Kariobangi Terminal,Gikomba Market,0.444,0.415,0.029,465.56194800633926,473.64295922198966,0.1
30907003211,Dandora Terminal,OTC,0.433,0.433,0.0,731.1655994954104,731.1655994954104,0.0
40100003311,Taj Roundabout,Muthurwa,0.446,0.446,0.0,650.951940853726,650.951940853726,0.0
40101040501,Baricho Road Terminus,City Stadium/Lusaka Road Junction,0.449,0.449,0.0,153.74059325023558,153.74059325023558,0.0
40102040511,GM Town,Muthurwa,0.474,0.474,0.0,540.4457671032757,540.4457671032757,0.0
40200000601,Joster,Church Army,0.406,0.406,0.0,87.91478378936277,87.91478378936277,0.0
